	1	5
1	63.7	12.7
2	9.93	4.3
3	5.84	3.18
4	4.6	2.78
5	4.03	2.57
6	3.71	2.44
7	3.5	2.36
8	3.36	2.3
9	2.26	2.26
10	3.17	2.22
11	3.11	2.2
12	3.06	2.17
13	3.01	2.16
14	2.98	2.14
15	2.95	2.13
16	2.92	2.12
17	2.9	2.11
18	2.88	2.1
19	2.86	2.09
20	2.85	2.08
21	2.83	2.08
22	2.82	2.07
23	2.81	2.07
24	2.8	2.06
25	2.79	2.06
26	2.78	2.06
27	2.77	2.05
28	2.76	2.05
29	2.76	2.05
30	2.75	2.04
40	2.7	2.02
60	2.66	2
120	2.62	1.98
121	2.58	1.96
